File,input-type,frame_type,compression_ratio,peaq,desirability,i-rate,mean-ref,p-ratio,quantile-25,quantile-50,quantile-75,std-ref
2,mixture,with-pframe,0.85415378386811458,0.13687826027528027,0.040062534071854831,2,19.048369855692144,0.98798679867986794,4,13,29,18.062212438876301
2,mixture,with-pframe,0.85047680322648023,0.13494227295388095,0.03966665300039527,5,47.769934987395516,0.99498349834983502,10,33,73,46.460945816574203
2,vocals,with-pframe,0.62041795709544578,0.032713878610712843,0.013182193647273858,0.10000000000000001,1.3402777777777777,0.53227722772277231,1,1,2,0.60321947279851285
2,vocals,with-pframe,0.57852915616917355,-0.020579981094705158,-0.0088932341936657534,1,8.8097867479055605,0.69333333333333336,2,5,13,9.1967884159098716
2,vocals,with-pframe,0.57313140325587753,-0.046237234501332658,-0.020168688296726345,2,18.439240030097817,0.70178217821782174,3,11,30,18.754299103475617
2,vocals,with-pframe,0.56895518462264472,0.010090382808841891,0.0044337335705685954,5,44.529059988787139,0.70640264026402644,7,30,68,45.666097853998217
2,drums,with-pframe,0.71336454430350371,0.074826121886212515,0.026222960786223718,0.10000000000000001,1.3198026463332586,0.58864686468646865,1,1,1,0.61817458135730563
2,drums,with-pframe,0.68259191162249766,-0.024972109179357105,-0.0091460610483939282,1,10.520234200103324,0.76660066006600658,3,8,16,8.8880042767971847
2,drums,with-pframe,0.67899977049493154,-0.051074074608477016,-0.01880489391448854,2,20.057862491490809,0.7757095709570957,6,15,30,17.835247104270909
2,drums,with-pframe,0.67540595320675312,-0.10884866691417594,-0.040290090129267611,5,49.736183876964681,0.78112211221122108,12,36,78,45.493083163147141
2,repet-fg,with-pframe,0.81776859184457606,0.020445737333505409,0.0062504654548383833,0.10000000000000001,1.2486358675882139,0.72580858085808586,1,1,1,0.56596745928572323
2,repet-fg,with-pframe,0.7482814196306774,-0.22702258597634994,-0.075847996495890357,1,8.9179938530315734,0.9449504950495049,1,6,13,8.9484636520003846
2,repet-fg,with-pframe,0.73870125918342611,-0.28042772929841542,-0.094905662408239749,2,17.930139444981361,0.95617161716171617,3,11,27,18.260387663908524
2,repet-fg,with-pframe,0.73023161960953198,-0.28275239115795348,-0.096802296547068956,5,46.201946805593636,0.96290429042904291,10,32,69,45.644934440544695
2,repet-bg,with-pframe,0.87387948663068504,0.14229076143962471,0.040706631639861053,0.10000000000000001,1.3856312731114633,0.7497029702970297,1,1,2,0.6379813195488625
2,repet-bg,with-pframe,0.83102018870989791,0.12540321705379087,0.037725683069285837,1,10.07382368848026,0.97636963696369639,2,7,15,9.1576518190885157
2,repet-bg,with-pframe,0.82645716378152145,0.11840130866856979,0.035815924241861204,2,19.553848209513628,0.98798679867986794,5,14,29,18.187658650879282
2,repet-bg,with-pframe,0.82224329600222801,0.11716913935803541,0.035624838757492866,5,48.818230065012607,0.99498349834983502,11,33,74,46.843834480851939
2,sum,with-pframe,0.85403993388191057,0.14656261664780912,0.042902741087770542,0.10000000000000001,1.3856312731114633,0.7497029702970297,1,1,2,0.6379813195488625
2,sum,with-pframe,0.83261028492151701,0.13525716518999209,0.040612387223496048,1,10.07382368848026,0.97636963696369639,2,7,15,9.1576518190885157
2,sum,with-pframe,0.83032877245732883,0.1311933124232163,0.039500411395763844,2,19.553848209513628,0.98798679867986794,5,14,29,18.187658650879282
2,sum,with-pframe,0.82822183856768206,0.13161476943396666,0.039728114891772179,5,48.818230065012607,0.99498349834983502,11,33,74,46.843834480851939
3,mixture,with-pframe,0.88414682622672847,0.1681228430691184,0.047538157148235179,0.10000000000000001,1.360155674765962,0.72192269724352642,1,1,2,0.6186698552346771
3,mixture,with-pframe,0.86281514580606045,0.16551743416004738,0.047958544470559056,1,9.3271171389359822,0.9406181183081479,2,6,14,8.8768769374978032
3,mixture,with-pframe,0.86083658976707045,0.16484196956059938,0.047872607739990219,2,17.862693473751396,0.95178069709165469,4,12,27,17.694422956266525
3,mixture,with-pframe,0.85876288445719229,0.16314428144496995,0.047493983612278017,5,42.853204468034541,0.95853899308983215,9,27,64,43.763850118457178
3,vocals,with-pframe,0.69703849192187883,0.1102847958802573,0.039554772497634734,0.10000000000000001,1.3826979472140764,0.56967119750930217,1,1,2,0.63092292884462553
3,vocals,with-pframe,0.6754841785228739,0.031578993883818907,0.011687540170398509,1,9.0588415882112159,0.74204571341787529,2,6,14,9.098143453177391
